ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
168,9,4,Y,Y,Y,Y,Y,146,N
169,9,4,N,Y,Y,Y,Y,178,N
170,9,4,Y,Y,Y,N,Y,362,N
171,9,4,Y,Y,Y,Y,N,586,N
172,9,3,N,N,N,N,N,246,Y
173,9,3,Y,Y,Y,Y,Y,248,N
174,9,3,Y,Y,N,Y,Y,120,N
175,9,5,Y,Y,Y,,N,517,N
176,9,5,Y,N,Y,Y,N,191,N
177,9,4,Y,Y,Y,Y,Y,372,N
178,9,5,Y,Y,N,Y,N,277,N
179,9,4,Y,N,N,Y,,204,N
180,9,5,N,N,N,N,Y,370,Y
181,9,4,Y,Y,Y,Y,Y,686,N
182,9,3,Y,Y,Y,Y,N,366,N
183,9,3,Y,Y,Y,N,N,342,N
184,9,4,N,N,Y,Y,N,348,Y
185,9,3,Y,Y,N,Y,,284,N
186,9,4,Y,Y,Y,N,Y,274,N
187,9,4,N,Y,Y,Y,Y,190,N
188,9,4,Y,Y,Y,Y,Y,121,N
189,9,4,Y,N,N,Y,N,545,Y
190,9,4,N,Y,Y,N,Y,356,N
191,10,4,Y,N,N,N,N,340,Y
192,10,5,Y,Y,Y,Y,N,342,N
193,10,5,Y,Y,N,Y,Y,294,N
194,10,5,Y,Y,Y,N,N,265,N
195,10,5,Y,Y,Y,N,N,493,N
196,10,4,Y,Y,Y,Y,N,173,N
197,10,3,N,Y,N,N,N,500,Y
198,10,2,Y,Y,Y,Y,N,191,N
199,10,4,N,Y,Y,N,N,627,N
200,10,4,N,N,Y,N,Y,267,N
201,10,3,Y,Y,Y,N,Y,488,N
202,10,4,Y,Y,Y,Y,Y,693,N
203,10,3,Y,Y,Y,Y,Y,143,N
204,10,3,Y,Y,Y,Y,Y,276,N
205,10,3,Y,Y,Y,Y,Y,178,N
206,10,3,Y,Y,Y,Y,Y,277,N
207,10,3,Y,Y,Y,N,N,343,N
208,10,3,Y,Y,Y,N,N,137,N
209,10,4,Y,Y,Y,N,Y,201,N
210,10,4,Y,Y,Y,N,Y,242,N
211,10,4,Y,Y,Y,Y,Y,239,N
212,10,4,N,N,N,N,N,344,Y
213,10,2,Y,Y,N,Y,N,531,N
214,10,2,Y,Y,Y,Y,Y,680,N
215,10,5,Y,Y,Y,Y,Y,171,N
216,10,1,Y,Y,Y,Y,Y,219,N
217,10,4,Y,Y,N,N,Y,206,N
218,10,4,Y,N,N,N,N,315,Y
219,10,3,Y,N,Y,Y,N,481,N
220,10,3,N,Y,N,Y,Y,240,N
221,10,4,Y,Y,Y,Y,Y,184,N
222,10,4,N,N,Y,Y,N,343,Y
223,10,4,Y,Y,N,N,Y,302,N
224,10,3,Y,N,Y,Y,N,669,N
225,10,3,Y,Y,Y,Y,Y,343,N
226,10,3,Y,N,Y,N,N,635,Y
227,10,3,N,Y,Y,Y,Y,578,N
228,10,5,Y,N,N,N,Y,147,N
229,10,2,N,Y,Y,N,N,547,N
230,8,3,N,Y,Y,,Y,253,N
231,8,3,Y,Y,Y,N,N,291,N
232,8,3,Y,Y,Y,N,N,275,N
233,8,3,Y,N,N,Y,Y,523,N
234,8,3,Y,Y,Y,Y,Y,384,N
235,8,3,N,N,N,N,N,395,Y
236,8,4,Y,Y,Y,Y,Y,221,N
237,8,4,Y,Y,Y,Y,N,558,N
238,8,4,Y,Y,Y,Y,N,244,N
239,8,4,Y,N,Y,Y,,377,N
240,8,3,Y,Y,Y,Y,N,427,N
241,8,5,Y,Y,Y,Y,Y,560,N
242,8,3,Y,Y,Y,Y,Y,482,N
243,8,3,Y,Y,N,N,N,243,N
244,8,4,Y,Y,N,N,Y,140,N
245,8,3,Y,Y,Y,Y,Y,125,N
246,8,4,Y,Y,N,Y,Y,314,N
247,8,5,Y,N,Y,Y,Y,384,N
248,8,5,Y,N,Y,Y,N,181,N
249,8,4,Y,Y,,Y,Y,145,N
250,8,5,Y,Y,Y,Y,N,191,N
251,8,4,Y,Y,Y,N,N,261,N
252,8,3,Y,Y,Y,N,N,282,N
253,8,4,Y,Y,Y,Y,Y,181,N
254,8,5,Y,Y,Y,N,N,363,N
255,8,4,Y,Y,N,N,N,296,N
256,8,2,Y,Y,Y,Y,N,243,N
257,8,4,Y,Y,Y,Y,Y,215,N
258,8,5,Y,Y,Y,N,Y,139,N
259,8,4,Y,Y,Y,N,N,366,N
260,8,3,Y,Y,Y,Y,N,360,N
261,8,4,N,Y,Y,Y,N,416,N
262,8,5,Y,N,Y,Y,Y,363,N
263,8,5,N,Y,Y,Y,Y,394,N
264,8,3,Y,Y,N,Y,N,252,N
265,8,4,N,,N,Y,N,392,Y
266,8,5,Y,N,N,Y,Y,523,N
267,8,4,Y,Y,Y,Y,Y,540,N
268,8,3,Y,Y,N,N,Y,374,N
269,8,4,Y,Y,Y,Y,Y,196,N
270,8,4,N,Y,Y,N,Y,216,N
271,8,4,Y,Y,Y,Y,Y,261,N
272,8,4,Y,Y,Y,N,Y,209,N
273,8,3,Y,Y,Y,Y,Y,603,N
274,8,3,Y,Y,Y,Y,N,530,N
275,8,3,Y,Y,N,Y,N,225,N
276,8,3,Y,Y,Y,Y,Y,125,N
277,8,3,Y,Y,,N,Y,438,N
278,8,2,Y,Y,Y,Y,Y,227,N
279,8,4,Y,N,Y,Y,Y,218,N
280,8,5,Y,Y,Y,N,N,394,N
281,8,4,Y,Y,N,N,Y,332,N
282,8,3,N,Y,N,Y,Y,358,N
283,9,4,Y,N,Y,Y,N,448,N
284,9,5,Y,Y,N,N,Y,183,N
285,9,4,Y,Y,Y,Y,Y,436,N
286,9,3,Y,Y,Y,N,N,412,N
287,9,2,Y,N,Y,N,Y,137,N
288,9,3,Y,Y,N,Y,N,207,N
289,9,3,Y,N,N,Y,Y,143,N
