ID,Age,IQ,Q1,Q2,Q3,Q4,Q5,Time Seconds,Label
137,10,5,N,Y,Y,Y,Y,112,N
138,10,4,Y,Y,Y,Y,N,60,N
139,10,4,N,Y,Y,Y,Y,58,N
140,10,3,Y,Y,Y,Y,Y,75,N
141,10,5,N,Y,Y,N,Y,69,N
142,10,4,N,N,Y,Y,N,88,Y
143,10,3,Y,Y,Y,Y,Y,90,N
144,10,3,Y,Y,Y,Y,N,100,N
145,10,5,Y,Y,Y,Y,N,100,N
146,9,4,Y,Y,Y,Y,Y,70,N
147,9,3,Y,Y,Y,Y,N,150,N
148,9,4,Y,Y,Y,Y,N,160,N
149,9,5,Y,N,N,Y,Y,120,N
150,9,4,Y,N,N,Y,Y,60,N
151,9,3,Y,Y,N,Y,Y,50,N
152,9,2,Y,Y,Y,Y,Y,85,N
153,9,5,Y,Y,Y,Y,Y,90,N
154,9,4,Y,Y,Y,N,N,150,N
155,9,3,Y,Y,Y,N,Y,120,N
156,9,5,Y,N,Y,N,N,125,Y
157,9,4,N,Y,Y,N,Y,65,N
158,9,3,N,N,Y,Y,Y,94,N
159,9,2,,Y,Y,Y,Y,94,N
160,9,3,Y,Y,Y,Y,Y,110,N
161,9,2,Y,Y,Y,Y,Y,140,N
162,9,3,Y,Y,Y,Y,Y,200,N
163,9,4,Y,Y,N,Y,Y,210,N
164,9,3,Y,N,N,Y,Y,150,N
165,9,4,Y,Y,N,Y,Y,102,N
166,9,5,Y,Y,Y,Y,Y,85,N
167,9,3,Y,N,N,Y,Y,85,N
168,9,2,Y,Y,Y,Y,Y,140,N
169,9,3,Y,N,Y,Y,Y,120,N
170,9,4,Y,N,Y,Y,Y,124,N
171,9,4,Y,N,N,N,Y,170,Y
172,9,4,Y,Y,Y,Y,Y,110,N
173,9,4,Y,Y,Y,Y,Y,95,N
174,9,4,Y,Y,Y,N,Y,90,N
175,9,3,Y,Y,Y,Y,N,101,N
176,9,1,N,Y,N,N,Y,100,N
177,9,3,N,Y,N,Y,Y,105,N
178,9,5,Y,Y,N,Y,Y,105,N
179,9,5,Y,Y,Y,Y,Y,90,N
180,9,4,Y,Y,Y,Y,Y,90,N
181,9,5,Y,Y,N,Y,Y,120,N
182,9,4,Y,Y,Y,Y,Y,112,N
183,9,5,Y,Y,Y,Y,Y,115,N
184,9,4,N,N,Y,Y,N,65,Y
185,9,3,Y,N,Y,Y,Y,70,N
186,9,3,Y,N,Y,Y,N,120,N
187,9,4,Y,Y,Y,Y,Y,152,N
188,9,3,Y,Y,N,Y,Y,200,N
189,9,4,N,N,Y,N,Y,190,Y
190,9,4,Y,Y,N,Y,Y,112,N
191,9,4,Y,Y,Y,N,Y,60,N
192,9,4,Y,N,N,N,Y,78,Y
193,9,4,Y,Y,N,Y,Y,75,N
194,9,4,Y,Y,N,Y,Y,69,N
195,9,5,Y,Y,Y,Y,Y,88,N
196,9,5,Y,Y,N,Y,Y,90,N
197,9,5,Y,Y,Y,Y,Y,120,N
198,9,5,Y,Y,N,Y,Y,100,N
199,9,4,Y,Y,N,Y,Y,70,N
200,8,3,Y,Y,N,N,N,150,Y
201,8,2,Y,Y,Y,Y,Y,174,N
202,8,4,Y,N,Y,Y,Y,125,N
203,8,4,Y,Y,N,Y,Y,65,N
204,8,3,Y,Y,Y,Y,Y,60,N
205,8,4,Y,Y,Y,Y,Y,75,N
206,8,3,Y,Y,Y,Y,Y,70,N
207,8,3,Y,Y,Y,Y,Y,70,N
208,8,3,N,Y,Y,Y,Y,115,N
209,8,3,Y,Y,N,Y,Y,115,N
210,8,3,Y,Y,N,Y,Y,120,N
211,8,3,Y,Y,Y,Y,Y,120,N
212,8,4,Y,N,N,Y,Y,90,N
213,8,4,Y,N,Y,Y,Y,90,N
214,8,4,Y,N,N,N,N,120,Y
215,8,1,Y,N,N,N,N,112,N
216,8,2,N,N,Y,N,N,115,N
217,8,4,N,N,N,Y,N,65,Y
218,8,5,Y,Y,Y,Y,Y,70,N
219,8,1,N,Y,Y,Y,Y,120,N
220,8,4,Y,Y,Y,Y,Y,152,N
221,8,4,Y,Y,Y,Y,Y,200,N
222,8,1,N,N,N,N,N,190,N
223,8,3,Y,Y,Y,Y,Y,112,N
224,8,4,Y,N,Y,Y,Y,60,N
225,8,4,Y,N,Y,Y,N,78,N
226,8,4,Y,N,Y,Y,Y,75,N
227,8,3,Y,Y,N,Y,Y,69,N
228,8,3,Y,Y,N,Y,N,88,N
229,8,3,Y,Y,N,Y,N,90,N
230,8,3,Y,Y,Y,N,Y,120,N
231,8,5,Y,Y,Y,Y,Y,100,N
232,8,2,Y,Y,Y,N,Y,70,N
233,8,3,Y,Y,Y,Y,Y,150,N
234,8,3,Y,Y,Y,N,Y,174,N
235,8,3,Y,Y,Y,Y,Y,125,N
236,8,3,Y,Y,Y,Y,Y,65,N
237,8,3,N,Y,N,N,N,60,Y
238,8,3,N,Y,Y,N,Y,75,N
239,8,4,Y,Y,Y,Y,Y,70,N
240,8,4,Y,Y,Y,Y,N,70,N
241,8,4,Y,Y,N,Y,Y,115,N
242,8,4,,Y,Y,Y,Y,115,N
243,8,3,Y,N,Y,Y,Y,120,N
244,8,5,Y,Y,Y,Y,Y,120,N
245,8,3,Y,N,Y,Y,N,105,N
246,8,3,Y,Y,Y,Y,Y,140,N
247,8,4,Y,,N,,Y,70,Y
248,8,3,Y,N,N,Y,Y,85,N
249,8,4,Y,N,Y,Y,,95,N
250,8,5,Y,N,Y,Y,Y,150,N
251,8,2,N,N,Y,Y,N,120,N
252,10,1,N,N,Y,N,N,120,N
253,10,5,N,N,Y,N,N,110,Y
254,10,4,Y,Y,Y,Y,N,105,N
255,10,3,N,Y,Y,Y,N,90,N
256,10,4,N,Y,Y,Y,Y,90,N
257,10,5,Y,Y,Y,Y,Y,90,N
258,10,4,Y,Y,Y,Y,Y,109,N
259,10,2,Y,Y,Y,Y,Y,110,N
260,10,4,Y,Y,Y,Y,N,110,N
261,10,5,Y,Y,Y,Y,Y,170,N
262,10,4,Y,Y,Y,Y,N,125,N
263,10,4,Y,Y,N,N,N,170,Y
264,10,4,N,N,N,Y,N,155,Y
265,10,5,Y,N,N,Y,Y,120,N
266,10,5,Y,Y,N,Y,N,120,N
267,10,4,N,Y,N,N,Y,250,Y
268,10,4,Y,Y,N,Y,N,124,N
269,10,5,N,Y,N,N,N,60,Y
270,10,2,Y,N,N,N,Y,120,N
271,10,3,Y,Y,Y,N,Y,110,N
272,10,4,Y,N,Y,Y,Y,110,N
273,10,4,Y,Y,Y,Y,Y,80,N
274,10,4,Y,Y,Y,Y,Y,90,N
275,10,4,Y,Y,Y,Y,N,100,N
276,10,3,Y,Y,Y,Y,Y,105,N
277,10,3,Y,Y,Y,Y,Y,105,N
278,10,3,Y,Y,N,Y,Y,120,N
279,10,3,Y,Y,Y,Y,Y,120,N
280,10,3,Y,Y,N,Y,Y,120,N
281,10,2,Y,N,N,N,Y,120,N
282,10,4,Y,N,N,N,Y,89,Y
283,10,5,N,N,N,Y,Y,130,Y
284,10,4,N,N,Y,Y,Y,127,N
285,10,3,Y,N,N,Y,Y,100,N
286,10,4,Y,Y,Y,Y,Y,100,N
287,10,5,Y,Y,N,Y,Y,100,N
288,10,4,Y,Y,Y,Y,Y,170,N
289,10,3,Y,Y,N,Y,Y,105,N
290,10,2,N,N,Y,Y,N,60,N
291,10,5,N,N,Y,Y,N,100,Y
292,10,3,Y,Y,Y,Y,N,90,N
293,10,3,Y,Y,Y,Y,N,120,N
294,10,3,Y,Y,Y,Y,Y,162,N
295,10,3,Y,Y,Y,Y,Y,200,N
296,10,3,Y,N,Y,Y,Y,190,N
297,10,4,Y,Y,Y,Y,Y,120,N
298,10,4,Y,Y,Y,Y,Y,120,N
299,10,4,Y,Y,Y,Y,Y,58,N
300,10,4,N,Y,Y,Y,Y,75,N
301,10,4,Y,N,Y,Y,Y,69,N
302,10,4,Y,Y,Y,Y,Y,170,N
303,10,4,Y,Y,Y,N,Y,165,N
304,10,5,Y,Y,Y,N,Y,100,N
305,10,5,Y,Y,Y,N,N,122,N
306,10,5,Y,Y,Y,Y,N,67,N
307,10,5,N,Y,Y,Y,Y,65,N
308,10,5,Y,Y,Y,Y,N,105,N
309,10,5,Y,Y,Y,Y,Y,125,N
310,10,5,Y,Y,Y,Y,N,100,N
311,10,4,Y,,N,Y,Y,110,N
312,10,5,N,N,Y,N,Y,130,Y
313,10,4,Y,Y,N,Y,Y,100,N
314,10,5,Y,Y,N,Y,Y,120,N
315,10,4,Y,Y,Y,Y,Y,95,N
316,10,3,Y,,N,N,N,65,Y
317,10,4,Y,Y,Y,N,N,60,N
318,10,5,Y,Y,N,Y,N,65,N
319,10,4,Y,Y,N,Y,N,90,N
320,10,4,Y,Y,N,N,N,120,Y
321,10,2,Y,Y,N,N,N,125,N
322,10,5,Y,Y,Y,Y,Y,120,N
323,10,5,Y,Y,Y,Y,Y,110,N
324,10,3,Y,,Y,Y,N,100,N
325,10,4,Y,Y,Y,Y,N,100,N
326,10,5,N,Y,N,N,Y,90,Y
327,10,3,N,Y,N,Y,N,95,N
328,10,4,Y,Y,N,Y,N,55,N
329,10,1,N,Y,Y,Y,Y,109,N
330,10,4,Y,Y,N,Y,Y,150,N
331,10,4,Y,N,N,Y,Y,135,N
332,10,4,Y,N,N,Y,Y,120,N
333,10,4,Y,Y,N,Y,Y,128,N
334,10,4,Y,Y,Y,Y,Y,95,N
335,10,5,Y,Y,Y,N,Y,100,N
336,10,1,Y,Y,Y,N,N,97,N
337,9,5,Y,N,Y,N,Y,200,N
338,9,5,N,Y,Y,N,N,200,Y
339,9,5,Y,Y,N,Y,Y,210,N
340,9,4,Y,Y,N,Y,N,110,N
341,9,3,Y,Y,N,Y,N,87,N
342,9,5,Y,Y,Y,Y,N,136,N
343,9,5,Y,N,Y,Y,Y,127,N
344,9,3,Y,N,Y,Y,Y,124,N
345,9,4,N,Y,Y,Y,Y,130,N
346,9,3,Y,N,N,Y,Y,90,N
347,9,4,Y,N,Y,Y,Y,90,N
348,9,5,Y,Y,N,Y,Y,90,N
349,9,4,Y,N,Y,Y,Y,90,N
350,9,5,Y,Y,N,Y,Y,100,N
351,9,4,Y,Y,N,Y,Y,145,N
352,9,3,Y,Y,N,Y,N,125,N
353,9,2,Y,Y,Y,N,Y,110,N
354,9,3,Y,Y,Y,Y,N,160,N
355,9,4,Y,Y,Y,Y,N,145,N
356,9,4,Y,N,Y,Y,N,128,N
357,9,5,Y,Y,Y,Y,Y,97,N
358,9,4,Y,Y,Y,Y,Y,120,N
359,9,3,Y,Y,Y,N,N,125,N
360,9,4,Y,Y,Y,Y,Y,108,N
361,9,5,Y,Y,Y,Y,N,100,N
362,9,4,Y,Y,Y,Y,Y,97,N
363,9,3,Y,Y,Y,Y,N,95,N
364,9,4,Y,Y,Y,Y,Y,100,N
365,9,5,Y,Y,N,N,N,180,Y
366,9,4,Y,Y,Y,Y,Y,120,N
367,9,4,N,N,Y,Y,Y,125,N
368,9,4,Y,Y,Y,Y,N,112,N
369,9,5,N,Y,N,N,Y,100,Y
370,9,4,N,N,N,Y,Y,60,Y
371,9,3,Y,N,N,Y,Y,90,N
372,9,3,Y,Y,Y,Y,Y,90,N
373,9,3,Y,Y,N,Y,Y,120,N
374,9,5,Y,Y,Y,Y,Y,152,N
375,9,3,Y,Y,N,N,Y,200,N
376,9,5,Y,Y,Y,Y,Y,190,N
377,9,5,Y,Y,N,Y,Y,112,N
378,9,5,Y,Y,Y,Y,Y,60,N
379,9,4,Y,Y,Y,Y,N,58,N
380,9,3,Y,Y,Y,Y,Y,75,N
381,9,4,Y,N,Y,N,Y,69,N
382,9,5,Y,Y,Y,Y,Y,88,N
383,9,4,Y,Y,Y,Y,Y,90,N
384,9,3,Y,Y,Y,Y,N,100,N
385,9,2,Y,Y,Y,Y,Y,100,N
386,8,3,Y,N,Y,Y,Y,70,N
387,8,4,Y,Y,Y,Y,Y,150,N
388,8,4,Y,N,Y,Y,Y,75,N
389,8,4,N,Y,Y,Y,N,105,N
390,8,5,N,Y,Y,Y,N,105,N
391,8,4,Y,Y,Y,Y,Y,110,N
392,8,3,Y,Y,Y,Y,Y,145,N
393,8,4,Y,Y,Y,Y,Y,120,N
394,8,5,Y,N,Y,Y,N,90,N
395,8,4,Y,Y,Y,Y,N,150,N
396,8,2,Y,N,N,N,Y,130,N
397,8,4,Y,Y,Y,Y,N,70,N
398,8,4,Y,Y,Y,N,N,145,N
399,8,4,Y,Y,Y,Y,N,120,N
400,8,5,Y,Y,Y,Y,Y,100,N
401,8,5,Y,Y,Y,Y,Y,107,N
402,8,5,Y,Y,Y,Y,Y,100,N
403,8,3,Y,Y,Y,N,Y,90,N
404,8,3,N,N,Y,N,Y,95,N
405,8,3,Y,N,Y,N,N,260,Y
406,8,2,N,N,N,N,,122,N
407,8,2,Y,Y,Y,N,N,67,N
408,8,3,Y,Y,Y,N,Y,65,N
409,8,1,Y,Y,N,N,Y,100,N
410,8,5,Y,Y,N,N,Y,125,N
411,8,4,Y,Y,N,Y,Y,100,N
412,8,2,Y,Y,Y,N,Y,177,N
413,8,4,Y,Y,Y,Y,Y,130,N
414,8,5,Y,Y,Y,N,Y,95,N
415,8,4,Y,Y,Y,Y,Y,120,N
416,8,3,Y,N,Y,N,Y,95,N
417,8,4,Y,N,Y,N,Y,85,N
418,8,5,Y,Y,N,Y,N,60,N
419,8,4,Y,Y,Y,Y,N,65,N
420,8,3,Y,Y,Y,Y,N,90,N
421,8,4,Y,Y,Y,Y,Y,120,N
422,8,3,Y,Y,Y,Y,,130,N
423,8,4,N,N,Y,Y,N,145,N
424,8,5,Y,Y,Y,Y,Y,110,N
425,8,4,Y,N,Y,N,N,190,Y
426,8,4,N,Y,Y,N,N,180,Y
427,8,4,Y,N,Y,Y,Y,90,N
428,8,5,Y,N,Y,Y,Y,95,N
429,8,3,Y,Y,N,Y,Y,55,N
